channel_id,all_comment_count,eng_comment_count
UC2SqHs9JwrwjuV6HLD3W9sQ,5,2
UC2UXDak6o7rBm23k3Vv5dww,23,19
UC2WuPTt0k8yDJpfenggOAVQ,20,8
UC2Zs9v2hL2qZZ7vsAENsg4w,6,6
UC2a6HBSxlWXKXjPVoKLxc2g,4,3
UC2aG3ddqJs7GU-Fq0ETgSLg,26,3
UC2cL3pI1H3tiozKif6A8fmA,25,23
UC2dxiip2L5FipdwX2i93MKw,34,2
UC2gzGsZhfo_BmCI4fsETH7w,108,28
UC2iUwfYi_1FCGGqhOUNx-iA,21,19
UC2ih0UcIYcDxU1-gB68W1PA,40,30
UC2jOcQnwJDw5D25dMFrIUJQ,22,20
UC2prVaTYvPljklrty7GBZ1g,29,17
UC2qKQjnZI_tnG7XemGBOHxQ,23,17
UC2sLtDxcntvFq2ARAVoprLg,52,22
UC2vhx3TcmtbKhJmgvQNdPHg,18,14
UC2wTnMBvQ_TH0qn5rJl8hWQ,36,29
UC2xBh2nwvOwBqnA1tEbPCZw,55,42
UC2xj044cgBpoXOnfQZhO5Yg,46,7
UC2yq41wib1MOacBef2crlbw,23,21
UC2zuipdDU9Dp5FFPtZ-y3rQ,19,15
UC3-8wdy7KcSa5KloEm0vp9A,19,4
UC305byCobfeNGA4XEZQmnLQ,33,3
UC362wXiUbL4_okVgEPdHqmQ,23,19
UC3DFdy_qc-cqgKCyQTHLGzA,61,47
UC3ITEPB1plAEtHf5Cm8nQLA,22,15
UC3IZKseVpdzPSBaWxBxundA,23,11
UC3K_V0FgEq_6SuA6X54z3GQ,26,21
UC3N5y6UWKJaKqoU2b_0MfTQ,33,16
UC3NJVkGUkPwvWwWpQG-67Ag,34,20
UC3OOIib8F59y4qzSjKiZZ3A,21,6
UC3Rkc5AnVil_2qt6IwEEXaw,26,1
UC3SM8yOKKwU8PYqwsNP5rGA,17,16
UC3VWbWk8qDBiF0741izgpQg,38,36
UC3XTzVzaHQEd30rQbuvCtTQ,21,19
UC3c8H4Tlnm5M6pXsVMGnmNg,30,29
UC3ifTl5zKiCAhHIBQYcaTeg,32,13
UC3iwxKMRg5l2aDG_8XK2nSQ,23,17
UC3plrhJApuJ_uapz_AMf7tw,25,22
UC3qp2FCeaQ5HhA3jHWHbrxg,34,30
UC3rrzHpFzshYjIMk8YFc52w,32,17
UC3xZYc4SZUGfRERIvDRGqDQ,26,20
UC3yrASSnYnr1rPvTUmU-Qzg,41,15
UC415bOPUcGSamy543abLmRA,108,96
UC42pOSNg804f1wCcj7qL0mA,147,121
UC46vj6mN-6kZm5RYWWqebsg,49,45
UC4BzfoDeAwqdNckkp0htOuQ,92,64
UC4C6jpQu4eChkMwaWuaQvSA,7,5
UC4CAxaO75mfkPr3GRiSGE_w,28,17
UC4CepjymvDjsas2g05GxtPw,25,17
UC4DLvb5xZ9OLcVM1KC_R97g,26,4
UC4ELmvRt24gNmbeS3EqDkNg,6,3
UC4JX40jDee_tINbkjycV4Sg,45,37
UC4KyTCx8kpTwoyqbRoOFnVA,30,2
UC4NtCXEWUj3mu-4n7TUxA2w,32,12
UC4QZ_LsYcvcq7qOsOhpAX4A,23,21
UC4SVo0Ue36XCfOyb5Lh1viQ,55,33
UC4UWbQ23IbWwU-XG7XIWxvQ,31,20
UC4XJeGGdXj0vA4CxDDJ8J_A,31,16
UC4XrBtU7fwDmR15GML18KcQ,23,16
UC4a-Gbdw7vOaccHmFo40b9g,29,23
UC4eegkSVzV56kTrSpvL6BKQ,21,16
UC4gD0czpXVv_LpADTSU624g,32,28
UC4hwR9831LIKr9wKQOO_ZYA,27,12
UC4ijq8Cg-8zQKx8OH12dUSw,25,22
UC4kronjAGs7kTc9vH3BWK2Q,51,23
UC4lnpEse_SnqheLmcbbumig,44,39
UC4lp9Emg1ci8eo2eDkB-Tag,127,91
UC4qGmRZ7aLOLfVsSdj5Se2A,49,30
UC4rZpoEdeFLF4x9walsyoSw,30,14
UC4rlAVgAK0SGk-yTfe48Qpw,55,40
UC4sEmXUuWIFlxRIFBRV6VXQ,30,27
UC4uJlNGyJgcuBXeFpo2Wxew,24,14
UC4ukq--KwuB31q3VyNs_BdA,28,24
UC4vT3qTr8fwVS7IsPgqaGCQ,24,16
UC4wOd-OGys-RKbv9FYFGRvA,72,68
UC4xHcg7a7hMoHgXerjRKiyA,31,16
UC4zNtKX3XTplYQWNFPorvXQ,27,13
UC505hkZmukH32DjoqkPA8UQ,39,32
UC515BDgBYXCc22q6lMENU-g,20,16
UC52kszkc08-acFOuogFl5jw,53,41
UC55HiTglyGMk1B33Lx9X7CQ,4,4
UC55hzEBczDivH31zVueh8Gg,32,0
UC56dNUTok1pgvpY75CsJQ4Q,46,10
UC59K-uG2A5ogwIrHw4bmlEg,124,101
UC5CugyvTdOloiuTc9nN09TA,24,23
UC5EcQrgvXsgGLR4ukxBTM8w,24,19
UC5FNGaz7gMK1GaqHeQ_INYQ,9,7
UC5FZ8PMYt4h4MHtDjgiTklA,27,22
UC5H9MzrMkJ5iuN11vV2PLhA,50,9
UC5IuDMmKWSsBFB0iKky6aEQ,22,21
UC5LgwusHqV8Ibl18sRaGTgg,23,18
UC5NsCSD7fuNzczbEliIIa0w,24,7
UC5QciHe35MiA_adJZUI-TCA,218,165
UC5Qj4RxFiIBYSH-1jKVjNqQ,34,29
UC5QvDEFmd-KLWz6p6CSDehA,9,6
UC5Sl4VbJELXi9SCaWbTdXfA,3,3
UC5WjFrtBdufl6CZojX3D8dQ,46,37
UC5Wz4fFacYuON6IKbhSa7Zw,29,28
UC5Y1pPVNm-odhiubuRO1D6A,18,7
UC5Z010wx1Yy_sQA6wNji93w,29,23
UC5apxzE3aEOpvP0XkeuW8mw,26,8
UC5asLXjw7vevJAKe0f4qtlA,6,3
UC5c7sXwWNvA-KQ_b7OxdsMg,27,20
UC5cs06DgLFeyLIF_II7lWCQ,20,1
UC5f5IV0Bf79YLp_p9nfInRA,24,16
UC5g3t_XWCC2jNLFA1POenCw,1,0
UC5hXaKEUulRpdBoivsmCSTw,24,15
UC5nw8exLddNg1nBm8stemdg,33,21
UC5oMpJJ5poXbBgABWwnuW5w,25,19
UC5p10kZrTNj5kHaRfSCNOQA,29,26
UC5rP-wFWe80lXN0unKDoulg,8,6
UC5zS0_6TYr17qTnvw_9vang,20,6
UC6-EmBtXmXOMPF-vWr9YaJA,36,29
UC61tzH0mtu0nuZIQikxT9FQ,31,8
UC63FOuee249Jpg1O075KFwQ,33,26
UC63mNFJR8EAb8wAIJwoCmTA,53,21
UC6A_LC-A5NVJ2vw9A0OjCug,28,22
UC6DlKHO4DAHjB6fBqqI11cA,26,15
UC6Fm1WbZBIp-0OXXHWV_PRQ,28,22
UC6H07z6zAwbHRl4Lbl0GSsw,27,17
UC6JhCqFwuSBJfseypJ2HZMw,26,3
UC6LyRXD915GDOFM_5unRfxg,67,40
UC6Mv5oj8daFztwg3jOkQjMA,35,0
UC6PT7R13JtDjTxZZ_dUafKQ,29,10
UC6QZ_ss3i_8qLV_RczPZBkw,63,20
UC6SrBgEY5mUqiadXsz070GQ,37,29
UC6ZCeXD14B7WAJO5nsjGryw,27,24
UC6_K7-Jthgq6hKUu55xC91Q,31,11
UC6d8KgYWSqVuCG7UXMEZt3Q,25,23
UC6n8I1UDTKP1IWjQMg6_TwA,30,28
UC6p0XC87axfwEtXeZEX3qWw,27,13
UC6rlSDvtzpYWgKrYnpjoH5Q,23,9
UC6rrBCCDvrDFcOJHifruL5A,56,42
UC6yzV_xgKn8r77FkcmZyMSg,7,7
UC74O4b7mg9vC6pbRIxTPibQ,5,3
UC762LVwv3LLuEtAvP_-tpfA,124,48
UC78mJyZPMa_OG08KLHjhODw,31,25
UC7BhHN8NyMMru2RUygnDXSg,67,53
UC7DdEm33SyaTDtWYGO2CwdA,25,21
UC7IcJI8PUf5Z3zKxnZvTBog,78,59
UC7JDBUzkcwRGtQGia3_mMgQ,23,19
UC7NXS92qRh43K0RGUTxRIew,34,3
UC7P2WwdpanJBvQmiYyQ-pRg,20,19
UC7WBxkuclmInB50j62iwegA,5,5
UC7_gcs09iThXybpVgjHZ_7g,26,19
UC7bYyWCCCLHDU0ZuNzGNTtg,28,26
UC7c8wbA9yQjzxkj2uyrHrkg,24,6
UC7ekA5squ12MDEy5upvpo7A,20,19
UC7fWeaHhqgM4Ry-RMpM2YYw,20,15
UC7kpCjVmzNj-UlIqwAQqBsw,28,14
UC7ovu6a8ydIbDy0fAKmoZ9A,65,1
UC7qPz_-prgjFyKGcnqJ9aKA,27,21
UC7qwmMOCk-q0KaROR7s7lGg,32,15
UC7r6YicDjoE_CzEM0h3Trww,35,9
UC7rSK4MI1HhnxrnBEozm53w,30,20
UC7rsYYvQbqQrJDGhqWmtAgQ,75,63
UC7szm7Z-YOF_HiFSY7KtYGw,24,7
UC7tWp_Yl6TwflcppyVDK_NA,23,10
UC7wjh3Dqg7JDy5vS82bR6QQ,22,20
UC80QkOQNihd9A8jjy0h5hhw,34,26
UC80Z-cIOdR6upfnrPJ8Q00A,20,19
UC83ou3zkohKwWEL5RluEy2A,18,1
UC84t1K5ri-7u9bFCaUKTXDA,27,19
UC85VW73bQLEjs_taFKP7TwQ,56,40
UC88KSXMWdkv50V1Wm8CAYWg,31,1
UC8B1sNPsg-VSCq6hkZdt9qw,65,44
UC8EP21iEkGNcKOSpOuJw4Dw,27,19
UC8Ld9PAhpOeBbNtLEoNlbUA,9,0
UC8LeXCWOalN8SxlrPcG-PaQ,10,1
UC8NJYzIiErJvwdN_ZG-JBXA,32,22
UC8R3qX--mc_Let6HZHGpnPQ,27,8
UC8T81Q-rEobLa-YuQKj8L1A,26,13
UC8ThsX-gyKKuuN9qo1PJ0-Q,26,24
UC8VhAX-voAUegprM4SpHQJQ,24,22
UC8X6rEFU-vJ1BE-d3NKJfLQ,29,7
UC8Y-jrV8oR3s2Ix4viDkZtA,2,0
UC8YgWcDKi1rLbQ1OtrOHeDw,23,13
UC8aFYW6sAdJT0sJg0GPhzGg,34,24
UC8bTQzxgvKkXDAaWkeuUlkg,23,21
UC8butISFwT-Wl7EV0hUK0BQ,516,406
UC8dRuwQLtfdfARmg77ZKq7w,29,0
UC8idW5eCOVi6Maau2efdKPQ,30,26
UC8jkbVLPvztz8TuE98OYo8Q,27,24
UC8lSbddTjlDrF0lHEeGM8rg,22,8
UC8lVvurdhqV2-cTizQjh4wQ,93,14
UC8mWYDxedkJmUReAiA3ze9w,40,28
UC8n-7kb2RGV7TidMWzHl7EQ,28,15
UC8p1vwvWtl6T73JiExfWs1g,20,18
UC8voJ9Sjb9tdf2jVByTKlFQ,44,41
UC8zQiuT0m1TELequJ5sp5zw,20,0
UC95bEkaIgwhxSjSsdMFXYGg,83,41
UC97qxGRmPsyfV0Miz7AxU2A,10,5
UC98tcedR6gULv8_b70WJKyw,24,16
UC99hZHMdxBDcjO-yYT1fDgg,17,11
UC9A9-hJ21nrQXNoCzCH7Gag,16,14
UC9Af1bn_bc6_Lwrr4SM6Qkg,23,14
UC9BAayugOCs1MRYUa5s9nkA,4,0
UC9ET3GTgAhGC0jGf5yTXQTg,81,62
UC9EYldgBLKw3EqnSk95Q37w,4,1
UC9EgazNjxm-_3eydGQR45rQ,20,8
UC9K44RtwiROAwCpALm1wdyQ,37,24
UC9L_ZcFAtqA3o3cwo56ejMA,29,7
UC9MAhLcXqWZo2CKlFjLpDEA,25,19
UC9MAhZQQd9egwWCxrwSIsJQ,23,20
UC9MU35bTvG9t06yf70hcGqQ,47,45
UC9OqJwkkvJTQoHUKi1y8LoQ,27,21
UC9PVYlrwFSlqG7w8TDsqRvQ,27,0
UC9RM-iSvTu1uPJb8X5yp3EQ,20,18
UC9SVhrnsGxWwiBRWT9c7Ozw,17,17
UC9Tib0IsWBst6tlQ-p3L4Pw,33,28
UC9cpGw2hVv-6G-76HO22jQg,55,15
UC9dyrsYEmD4iGJ8Oz1G5dpw,33,10
UC9eaNdd1t64xLogaRVmGrow,4,1
UC9fJ0Ic5ki8XL8p2KUs4hmA,11,4
UC9guUZ_cJNtNTCsReHlIg1A,3,0
UC9hHiwe_gqxdHG3X1UGJEEA,35,15
UC9jbx97WHiM7aPA_A3Sl6hQ,24,20
UC9jqaqnrukj-VlYEHLF_S0w,25,18
UC9pzK5rFu0roGKcLNOBQ2bw,30,23
UC9r9HYFxEQOBXSopFS61ZWg,19,15
UC9rEXaObaNCOYU-bpElHntQ,19,1
UC9x0AN7BWHpCDHSm9NiJFJQ,109,92
UC9xghV-TcBwGvK-aEMhpt5w,24,23
UC9zX2xZIJ4cnwRsgBpHGvMg,32,21
UCA19mAJURyYHbJzhfpqhpCA,25,20
UCA1pil7GfHhJugZAhrDtTVQ,33,22
UCA5Kea1lxIUjcenLBujJt_Q,4,2
UCA5pIrTB-nK98lkFrTdRyfQ,34,23
UCA5scr9hNC7nMmDhdU8hkXA,21,9
UCABeEbafXvyp4Q2N_OOYi6g,15,3
UCACU6FM4RgOgX0IHB7dudFA,101,40
UCAF6O8b0QajgcNfT4kcPyNQ,30,24
UCAI5QLNSOSzOQTYCyNA06EQ,17,8
UCAL3JXZSzSm8AlZyD3nQdBA,23,14
UCAM2fyCjEdROyELretVTiiw,22,13
UCANLZYMidaCbLQFWXBC95Jg,47,34
UCAQOf_uPOJ6rXO_k9RwfK3A,31,21
UCAQg09FkoobmLquNNoO4ulg,26,19
UCASGyre6VNuPsF5f9f9nm8g,26,19
UCASNJRaxmqOljWhyagDdgOA,11,6
UCATNzbTbfeoMhNonZGZmrhA,26,24
UCAWn8LWOOorLB3OOwj6JwmQ,31,18
UCAYo8etw9D_IXLGgnr45Cfw,33,11
UCAZsAvNyldyiJWTuUFQnkfQ,29,23
UCAcgY29Ow-ggJSldNTTBdZA,18,16
UCAidhU356a0ej2MtFEylvBA,27,12
UCAmhbG40GSFEJEa-6Yj8zAQ,6,4
UCAr0yk0um7lwLjmrKfzwyig,29,27
UCAsZ8cqlGMeAig2Oud2ETRw,29,7
UCAuUUnT6oDeKwE6v1NGQxug,127,107
UCAynUBIkB7gX10An54eEt4A,25,21
UCB2qTDjzBSouovVXXwYKLlQ,12,8
UCB85mqzwxW1ochHxPbTEsjw,29,1
UCBC4egaXY3_2I6KuQy4FEnw,20,11
UCBEhL1MZrm56pZuzKb5s13w,25,20
UCBGOUQHNNtNGcGzVq5rIXjw,31,24
UCBGxe5vTiVWv7e2gP6QB1Mw,25,21
UCBGzm7haKhfUdBBREbGMfIA,31,19
